name,value,year,lastValue,rank
Puma,1595756,8,1994086,7
Lombardino,1832382,8,1876741,8
New Balance,1819404,8,1869928,9
Sumilon,1265427,8,1202189,10
Adidas,988409,8,993418,11
A.Giannini,2012029,8,894604,12
Olympikus                 ,627097,8,814813,13
Lady Confort,608519,8,804028,14
Freeway ,891607,8,799567,15
Umbro,666869,8,749049,16
Bottero,270921,8,481318,17
Branch,314546,8,387581,18
North Sails N+,266308,8,366595,19
Vanzetti,293483,8,363848,20
Cuerart                  ,215051,8,303221,21
Bibi,195466,8,289955,22
Croco Kids,387158,8,289270,23
Wassington   ,223180,8,285680,24
Varios_Saldos,145400,8,264489,25
Azaleia,372621,8,250970,26
Gallarate,251790,8,242190,27
ZAXY,104240,8,186140,28
Mistral,314139,8,185070,29
Goshik,162500,8,155790,30
Reef,127978,8,137426,31
Falatino,89607,8,124920,32
Bioconfort,52602,8,101445,33
Ador,10653,8,95416,34
Mc Jason,84966,8,85952,35
Euro Jack,30294,8,53632,36
Pigalle ,202770,8,45030,37
FF,35880,8,35880,38
Tiernitas,14763,8,35511,39
Disponible,24200,8,32400,40
Legitimo,28130,8,25840,41
Via Uno,17950,8,21510,42
Havaianas,56884,8,20430,43
Rider,52778,8,11221,44
Annisa Group.,3100,8,9269,45
Aquarella,21712,8,8172,46
Mormaii,26809,8,5510,47
Crocs,10461,8,4583,48
Grendene,5501,8,4184,49
SANJERIY,8189,8,3495,50
Ginga,4944,8,3399,51
Democrata,4470,8,2980,52
Hot Wheels,3230,8,1960,53
Pierre Cardin/Dali/Murakami,100,8,1600,54
Futbol,500,8,1400,55
Hello Kitty,4028,8,1350,56
Chiquillos,1050,8,900,57
Spiderman,6371,8,897,58
Grendha,780,8,780,59
Retoric,400,8,600,60
Angra,500,8,500,61
Rain Boot,798,8,399,62
Arye - Portter,1596,8,0,63
PUSH,4283877,9,3632774,1
Topper,3663954,9,3270508,2
Reebok,2935988,9,2597438,3
Converse,2361819,9,2395982,4
Miss Carol,3231552,9,2019010,5
A.Giannini,2146863,9,2012029,6
Lombardino,2100010,9,1832382,7
New Balance,1696801,9,1819404,8
Camarao,2931474,9,1781185,9
Puma,3210278,9,1595756,10
Sumilon,1548635,9,1265427,11
Adidas,820820,9,988409,12
Freeway ,1135314,9,891607,13
Umbro,618298,9,666869,14
Olympikus                 ,616468,9,627097,15
Lady Confort,687587,9,608519,16
Croco Kids,606748,9,387158,17
Azaleia,732266,9,372621,18
Branch,303347,9,314546,19
Mistral,310117,9,314139,20
Vanzetti,200703,9,293483,21
Bottero,104638,9,270921,22
North Sails N+,548591,9,266308,23
Gallarate,276930,9,251790,24
Wassington   ,233825,9,223180,25
Cuerart                  ,160313,9,215051,26
Pigalle ,531790,9,202770,27
Bibi,135632,9,195466,28
Goshik,140679,9,162500,29
